School Name,Rank in America,School District,School State,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
PS 157 - Grove Hill,nan,New York City Geographic District No. 7,NY,"PK, K-5",nan,nan,C,647,13:1,2019-03-19 01:01:35.289095
Peace & Diversity Academy,nan,New York City Geographic District No. 12,NY,9-12,2.5,13,C,123,9:1,2019-03-19 01:01:35.289100
IS 347 - School of Humanities,nan,New York City Geographic District No. 32,NY,6-8,nan,nan,C,297,12:1,2019-03-19 01:01:35.289107
Life Academy High School for Film & Music,nan,New York City Geographic District No. 21,NY,9-12,3.5,32,C,288,15:1,2019-03-19 01:01:35.289112
School 22,nan,Yonkers City School District,NY,"PK, K-6",nan,nan,C,522,23:1,2019-03-19 01:01:35.289118
PS 44 - Thomas C Brown,nan,New York City Geographic District No. 31,NY,"PK, K-5",nan,nan,C,980,14:1,2019-03-19 01:01:35.289125
Paideia School 24,nan,Yonkers City School District,NY,"PK, K-6",nan,nan,C,479,23:1,2019-03-19 01:01:35.289132
Waterside School for Leadership,nan,New York City Geographic District No. 27,NY,6-8,nan,nan,C,222,11:1,2019-03-19 01:01:35.289138
Schenevus Central School,nan,Schenevus Central School District,NY,"PK, K-12",3.5,21,C,366,10:1,2019-03-19 01:01:35.289144
PS 59 - The Community School of Technology,nan,New York City Geographic District No. 10,NY,"PK, K-5",nan,nan,C,618,13:1,2019-03-19 01:01:35.289151
PS 28 - Mount Hope,nan,New York City Geographic District No. 9,NY,"PK, K-5",nan,nan,C,770,15:1,2019-03-19 01:01:35.289157
Whitesville Central School,nan,Whitesville Central School District,NY,"PK, K-12",3.0,7,C,246,10:1,2019-03-19 01:01:35.289164
Washington Heights Expeditionary Learning School,nan,New York City Geographic District No. 6,NY,"PK, K-12",4.0,76,C,756,14:1,2019-03-19 01:01:35.289170
Bronx Career & College Preparatory High School,nan,New York City Geographic District No. 12,NY,8-12,4.0,7,C,318,12:1,2019-03-19 01:01:35.289176
Gilbertsville-Mount Upton Junior/Senior High School,nan,Gilbertsville-Mount Upton Central School District,NY,7-12,3.5,27,C,179,9:1,2019-03-19 01:01:35.289182
Bushwick Leaders&apos High School for Academic Excellence,nan,New York City Geographic District No. 32,NY,9-12,3.0,27,C,274,11:1,2019-03-19 01:01:35.289189
Westport Central School,nan,Westport Central School District,NY,K-12,3.5,9,C,215,8:1,2019-03-19 01:01:35.289196
The Bronx Preparatory Academy,nan,New York City Geographic District No. 11,NY,9-12,3.5,40,C,414,17:1,2019-03-19 01:01:35.289202
PS 104 - The Bays Water School,nan,New York City Geographic District No. 27,NY,"PK, K-5",nan,nan,C,717,15:1,2019-03-19 01:01:35.289208
Hempstead Elementary School,nan,East Ramapo Central School District,NY,K-6,4.0,1,C,351,10:1,2019-03-19 01:01:35.289215
Gansevoort Elementary School,nan,Rome City School District,NY,K-4,nan,nan,C,368,11:1,2019-03-19 01:01:35.289220
Phillips Avenue School,nan,Riverhead Central School District,NY,K-4,nan,nan,C,599,16:1,2019-03-19 01:01:35.289226
Knowledge & Power Preparatory Academy III,nan,New York City Geographic District No. 12,NY,5-8,4.0,3,C,360,14:1,2019-03-19 01:01:35.289232
Lyons Elementary School,nan,Lyons Central School District,NY,"PK, K-6",nan,nan,C,510,13:1,2019-03-19 01:01:35.289238
PS/MS 4 - Crotona Park West,nan,New York City Geographic District No. 9,NY,"PK, K-8",nan,nan,C,591,13:1,2019-03-19 01:01:35.289244
Antonia Pantoja Preparatory Academy,nan,New York City Geographic District No. 8,NY,6-12,3.0,10,C,417,13:1,2019-03-19 01:01:35.289250
Elizabethtown-Lewis Central School,nan,Elizabethtown-Lewis Central School District,NY,K-12,3.5,29,C,237,8:1,2019-03-19 01:01:35.289257
Madison Central School,nan,Madison Central School District,NY,"PK, K-12",3.5,12,C,462,11:1,2019-03-19 01:01:35.289263
Urban Assembly School for Careers in Sports,nan,New York City Geographic District No. 7,NY,9-12,3.5,93,C,578,17:1,2019-03-19 01:01:35.289269
Isaac Newton Middle School for Math & Science,nan,New York City Geographic District No. 4,NY,6-8,nan,nan,C,236,13:1,2019-03-19 01:01:35.289276
Edmund W Miles Middle School,nan,Amityville Union Free School District,NY,7-9,2.5,10,C,617,10:1,2019-03-19 01:01:35.289282
Amistad Dual Language School,nan,New York City Geographic District No. 6,NY,K-8,3.5,3,C,417,15:1,2019-03-19 01:01:35.289289
PS 269 - Nostrand,nan,New York City Geographic District No. 22,NY,"PK, K-5",nan,nan,C,395,17:1,2019-03-19 01:01:35.289295
Liberation Diploma Plus,nan,New York City Geographic District No. 21,NY,9-12,nan,nan,C,169,17:1,2019-03-19 01:01:35.289301
Watervliet Junior/Senior High School,nan,Watervliet City School District,NY,7-12,3.0,48,C,578,11:1,2019-03-19 01:01:35.289309
Harlem Renaissance High School,nan,New York City Geographic District No. 5,NY,9-12,4.0,12,C,203,14:1,2019-03-19 01:01:35.289315
Southeast Elementary School,nan,Brentwood Union Free School District,NY,1-5,nan,nan,C,683,20:1,2019-03-19 01:01:35.289321
North Queens Community High School,nan,New York City Geographic District No. 25,NY,9-12,3.0,13,C,188,14:1,2019-03-19 01:01:35.289326
Kakiat Elementary School,nan,East Ramapo Central School District,NY,4-6,3.0,1,C,495,17:1,2019-03-19 01:01:35.289332
Warrensburg Elementary School,nan,Warrensburg Central School District,NY,"PK, K-6",nan,nan,C,401,11:1,2019-03-19 01:01:35.289338
PS 181 - Brookfield,nan,New York City Geographic District No. 29,NY,"PK, K-5",nan,nan,C,392,13:1,2019-03-19 01:01:35.289344
PS 85 - Great Expectations,nan,New York City Geographic District No. 10,NY,"PK, K-5",nan,nan,C,"1,013",11:1,2019-03-19 01:01:35.289350
High School for Service & Learning at Erasmus,nan,New York City Geographic District No. 17,NY,9-12,3.5,56,C,404,19:1,2019-03-19 01:01:35.289356
Newfield Middle School,nan,Newfield Central School District,NY,6-8,nan,nan,C,175,11:1,2019-03-19 01:01:35.289362
PS 103 - Hector Fontanez,nan,New York City Geographic District No. 11,NY,K-5,nan,nan,C,"1,146",14:1,2019-03-19 01:01:35.289368
PS 110,nan,New York City Geographic District No. 24,NY,K-3,nan,nan,C,391,15:1,2019-03-19 01:01:35.289374
PS 91 - The Albany Avenue School,nan,New York City Geographic District No. 17,NY,"PK, K-5",nan,nan,C,372,14:1,2019-03-19 01:01:35.289379
High School for Health Careers & Sciences,nan,New York City Geographic District No. 6,NY,8-12,3.0,29,C,528,13:1,2019-03-19 01:01:35.289385
Gorton High School,nan,Yonkers City School District,NY,9-12,3.0,92,C,927,14:1,2019-03-19 01:01:35.289391
