School Name,Rank in America,School District,School State,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
Quest Elementary School,"#11,384 Best Public Elementary Schools in America",Hilton Central School District,NY,"PK, K-6",nan,nan,A-,444,12:1,2019-03-19 01:01:35.272291
IS 141 - The Steinway,"#4,062 Best Public Middle Schools in America",New York City Geographic District No. 30,NY,6-8,4.5,11,A-,"1,158",18:1,2019-03-19 01:01:35.272298
Hamilton Junior/Senior High School,"#3,540 Best Public High Schools in America",Hamilton Central School District,NY,"PK, K-12",4.0,41,A-,295,12:1,2019-03-19 01:01:35.272305
Westhill High School,"#3,543 Best Public High Schools in America",Westhill Central School District,NY,9-12,4.0,105,A-,576,14:1,2019-03-19 01:01:35.272312
PS 12 - James B Colgate,"#11,427 Best Public Elementary Schools in America",New York City Geographic District No. 24,NY,K-5,4.5,2,A-,"1,272",16:1,2019-03-19 01:01:35.272318
J Taylor Finley Middle School,"#4,079 Best Public Middle Schools in America",Huntington Union Free School District,NY,7-8,nan,nan,A-,690,13:1,2019-03-19 01:01:35.272325
Brooklyn College Academy,"#3,549 Best Public High Schools in America",New York City Geographic District No. 22,NY,9-12,4.0,243,A-,591,20:1,2019-03-19 01:01:35.272332
IS 34 - Tottenville,"#4,081 Best Public Middle Schools in America",New York City Geographic District No. 31,NY,6-8,4.5,3,A-,"1,166",15:1,2019-03-19 01:01:35.272339
PS 249 - The Caton,"#11,454 Best Public Elementary Schools in America",New York City Geographic District No. 17,NY,"PK, K-5",nan,nan,A-,895,16:1,2019-03-19 01:01:35.272345
PS 105 - The Blythebourne School,"#11,470 Best Public Elementary Schools in America",New York City Geographic District No. 20,NY,K-5,nan,nan,A-,"1,671",18:1,2019-03-19 01:01:35.272352
PS 52 - John C Thompson,"#11,480 Best Public Elementary Schools in America",New York City Geographic District No. 31,NY,"PK, K-5",nan,nan,A-,507,12:1,2019-03-19 01:01:35.272359
William Floyd Middle School,"#4,108 Best Public Middle Schools in America",William Floyd Union Free School District,NY,6-8,4.0,2,A-,"1,054",14:1,2019-03-19 01:01:35.272365
Frontier Middle School,"#4,109 Best Public Middle Schools in America",Frontier Central School District,NY,6-8,nan,nan,A-,"1,108",14:1,2019-03-19 01:01:35.272415
Merton Williams Middle School,"#4,128 Best Public Middle Schools in America",Hilton Central School District,NY,7-8,3.5,8,A-,681,12:1,2019-03-19 01:01:35.272425
L Pearl Palmer Elementary School,"#11,573 Best Public Elementary Schools in America",Baldwinsville Central School District,NY,K-5,nan,nan,A-,455,14:1,2019-03-19 01:01:35.272435
PS 32 - The Gifford School,"#11,601 Best Public Elementary Schools in America",New York City Geographic District No. 31,NY,"PK, K-5",4.0,1,A-,687,16:1,2019-03-19 01:01:35.272445
Vestal Middle School,"#4,156 Best Public Middle Schools in America",Vestal Central School District,NY,6-8,2.0,5,A-,771,12:1,2019-03-19 01:01:35.272475
PS 133 - William A Butler,"#11,673 Best Public Elementary Schools in America",New York City Geographic District No. 13,NY,"PK, K-5",nan,nan,A-,689,15:1,2019-03-19 01:01:35.272485
Queensbury Elementary School,"#11,676 Best Public Elementary Schools in America",Queensbury Union Free School District,NY,K-4,nan,nan,A-,933,14:1,2019-03-19 01:01:35.272495
PS 314 - Muscota New School,"#11,681 Best Public Elementary Schools in America",New York City Geographic District No. 6,NY,K-5,nan,nan,A-,270,14:1,2019-03-19 01:01:35.272529
Canandaigua Primary-Elementary School,"#11,685 Best Public Elementary Schools in America",Canandaigua City School District,NY,"PK, K-5",nan,nan,A-,"1,599",13:1,2019-03-19 01:01:35.272541
Plattsburgh Senior High School,"#3,619 Best Public High Schools in America",Plattsburgh City School District,NY,8-12,3.5,70,A-,566,11:1,2019-03-19 01:01:35.272551
Potsdam Senior High School,"#3,620 Best Public High Schools in America",Potsdam Central School District,NY,9-12,3.5,18,A-,354,15:1,2019-03-19 01:01:35.272562
Windsor Central High School,"#3,621 Best Public High Schools in America",Windsor Central School District,NY,9-12,3.5,99,A-,545,12:1,2019-03-19 01:01:35.272573
Arongen Elementary School,"#11,704 Best Public Elementary Schools in America",Shenendehowa Central School District,NY,K-5,nan,nan,A-,648,15:1,2019-03-19 01:01:35.272585
Middle Village Preparatory Charter School,"#4,194 Best Public Middle Schools in America",Middle Village,NY,6-8,5.0,14,A-,369,14:1,2019-03-19 01:01:35.272594
Colonie Central High School,"#3,638 Best Public High Schools in America",South Colonie Central School District,NY,9-12,3.5,223,A-,"1,584",14:1,2019-03-19 01:01:35.272601
Iroquois Senior High School,"#3,639 Best Public High Schools in America",Iroquois Central School District,NY,9-12,3.5,86,A-,841,14:1,2019-03-19 01:01:35.272608
Clinton Elementary School,"#11,741 Best Public Elementary Schools in America",West Seneca Central School District,NY,K-5,nan,nan,A-,558,16:1,2019-03-19 01:01:35.272616
Voice Charter School of New York,"#11,746 Best Public Elementary Schools in America",Long Island City,NY,K-8,4.0,2,A-,627,15:1,2019-03-19 01:01:35.272623
Glenwood Elementary School,"#11,757 Best Public Elementary Schools in America",Vestal Central School District,NY,K-5,nan,nan,B+,266,16:1,2019-03-19 01:01:35.272629
Shaw Avenue School,"#11,809 Best Public Elementary Schools in America",Valley Stream Union Free School District No. 30,NY,K-6,nan,nan,B+,780,15:1,2019-03-19 01:01:35.272636
Timber Point Elementary School,"#11,826 Best Public Elementary Schools in America",East Islip Union Free School District,NY,K-2,nan,nan,B+,425,16:1,2019-03-19 01:01:35.272647
Queens High School for Language Studies,"#3,667 Best Public High Schools in America",New York City Geographic District No. 25,NY,9-11,4.5,13,B+,294,13:1,2019-03-19 01:01:35.272658
Eastport Elementary School,"#11,893 Best Public Elementary Schools in America",Eastport-South Manor Central School District,NY,3-6,nan,nan,B+,506,13:1,2019-03-19 01:01:35.272671
West Hempstead High School,"#3,685 Best Public High Schools in America",West Hempstead Union Free School District,NY,9-12,3.5,146,B+,765,14:1,2019-03-19 01:01:35.272682
Sound Beach School,"#11,914 Best Public Elementary Schools in America",Miller Place Union Free School District,NY,3-5,nan,nan,B+,617,15:1,2019-03-19 01:01:35.272689
John Jay Senior High School,"#3,693 Best Public High Schools in America",Wappingers Central School District,NY,9-12,3.5,282,B+,"2,013",17:1,2019-03-19 01:01:35.272696
Theodore R Durgee Junior High School,"#4,283 Best Public Middle Schools in America",Baldwinsville Central School District,NY,8-9,2.0,5,B+,880,13:1,2019-03-19 01:01:35.272704
JHS 194 - William Carr,"#4,286 Best Public Middle Schools in America",New York City Geographic District No. 25,NY,6-8,4.0,14,B+,"1,105",17:1,2019-03-19 01:01:35.272711
Tioga Hills Elementary School,"#11,959 Best Public Elementary Schools in America",Vestal Central School District,NY,K-5,nan,nan,B+,265,14:1,2019-03-19 01:01:35.272718
Minisink Valley High School,"#3,715 Best Public High Schools in America",Minisink Valley Central School District,NY,9-12,3.5,164,B+,"1,347",15:1,2019-03-19 01:01:35.272726
Lancaster Middle School,"#4,308 Best Public Middle Schools in America",Lancaster Central School District,NY,7-8,3.0,1,B+,952,13:1,2019-03-19 01:01:35.272733
Belmont Elementary School,"#12,021 Best Public Elementary Schools in America",North Babylon Union Free School District,NY,K-5,nan,nan,B+,379,16:1,2019-03-19 01:01:35.272740
The 51st Avenue Academy (The Path to Academic Excellence),"#12,049 Best Public Elementary Schools in America",New York City Geographic District No. 24,NY,3-5,nan,nan,B+,487,15:1,2019-03-19 01:01:35.272746
PS 121 - Nelson A Rockefeller,"#12,051 Best Public Elementary Schools in America",New York City Geographic District No. 21,NY,"PK, K-8",5.0,4,B+,346,7:1,2019-03-19 01:01:35.272754
PS 6 - Cpl Allan F Kivlehan School,"#12,062 Best Public Elementary Schools in America",New York City Geographic District No. 31,NY,"PK, K-5",3.5,3,B+,631,13:1,2019-03-19 01:01:35.272761
Brinckerhoff Elementary School,"#12,083 Best Public Elementary Schools in America",Wappingers Central School District,NY,"PK, K-6",nan,nan,B+,648,18:1,2019-03-19 01:01:35.272768
PS 75 - Emily Dickinson,"#12,113 Best Public Elementary Schools in America",New York City Geographic District No. 3,NY,K-5,3.0,2,B+,571,10:1,2019-03-19 01:01:35.272775
White Plains Middle School,"#4,355 Best Public Middle Schools in America",White Plains City School District,NY,6-8,3.5,2,B+,"1,616",13:1,2019-03-19 01:01:35.272781
Polk Street School,"#12,150 Best Public Elementary Schools in America",Franklin Square Union Free School District,NY,"PK, K-6",nan,nan,B+,685,16:1,2019-03-19 01:01:35.272788
PS 217 - Col David Marcus School,"#12,194 Best Public Elementary Schools in America",New York City Geographic District No. 22,NY,"PK, K-5",5.0,1,B+,"1,222",15:1,2019-03-19 01:01:35.272794
Fulmar Road Elementary School,"#12,206 Best Public Elementary Schools in America",Mahopac Central School District,NY,K-5,3.5,2,B+,482,12:1,2019-03-19 01:01:35.272801
Fieldstone Middle School,"#4,396 Best Public Middle Schools in America",North Rockland Central School District,NY,7-8,4.5,3,B+,"1,206",13:1,2019-03-19 01:01:35.272807
Daniel Street School,"#12,254 Best Public Elementary Schools in America",Lindenhurst Union Free School District,NY,K-6,nan,nan,B+,527,13:1,2019-03-19 01:01:35.272814
PS 212 - School of CyberScience & Literacy,"#12,276 Best Public Elementary Schools in America",New York City Geographic District No. 30,NY,"PK, K-5",nan,nan,B+,808,16:1,2019-03-19 01:01:35.272821
George Washington School,"#12,298 Best Public Elementary Schools in America",White Plains City School District,NY,K-5,2.0,1,B+,656,16:1,2019-03-19 01:01:35.272828
Willow Road School,"#12,328 Best Public Elementary Schools in America",Valley Stream Union Free School District No. 13,NY,K-6,nan,nan,B+,419,10:1,2019-03-19 01:01:35.272835
Washington Street School,"#12,333 Best Public Elementary Schools in America",Franklin Square Union Free School District,NY,"PK, K-6",nan,nan,B+,828,15:1,2019-03-19 01:01:35.272842
Palmyra-Macedon Senior High School,"#3,811 Best Public High Schools in America",Palmyra-Macedon Central School District,NY,9-12,3.5,70,B+,598,11:1,2019-03-19 01:01:35.272849
PS 214 - Cadwallader Colden,"#12,358 Best Public Elementary Schools in America",New York City Geographic District No. 25,NY,"PK, K-5",nan,nan,B+,567,15:1,2019-03-19 01:01:35.272856
Glendaal Elementary School,"#12,400 Best Public Elementary Schools in America",Scotia-Glenville Central School District,NY,K-5,nan,nan,B+,238,15:1,2019-03-19 01:01:35.272863
Mineola Middle School,"#4,463 Best Public Middle Schools in America",Mineola Union Free School District,NY,5-7,nan,nan,B+,617,12:1,2019-03-19 01:01:35.272870
Dawnwood Middle School,"#4,465 Best Public Middle Schools in America",Middle Country Central School District,NY,6-10,4.0,1,B+,"1,168",14:1,2019-03-19 01:01:35.272878
Pawling High School,"#3,821 Best Public High Schools in America",Pawling Central School District,NY,9-12,3.5,74,B+,386,12:1,2019-03-19 01:01:35.272885
Covert Avenue School,"#12,422 Best Public Elementary Schools in America",Elmont Union Free School District,NY,"PK, K-6",4.5,2,B+,744,13:1,2019-03-19 01:01:35.272892
Mahopac Middle School,"#4,483 Best Public Middle Schools in America",Mahopac Central School District,NY,6-8,nan,nan,B+,"1,043",11:1,2019-03-19 01:01:35.272899
PS 127 - McKinley Park School,"#12,457 Best Public Elementary Schools in America",New York City Geographic District No. 20,NY,K-5,nan,nan,B+,526,13:1,2019-03-19 01:01:35.272932
PS 69 - Jackson Heights,"#12,514 Best Public Elementary Schools in America",New York City Geographic District No. 30,NY,"PK, K-5",5.0,1,B+,"1,079",17:1,2019-03-19 01:01:35.272941
Cayuga School,"#12,521 Best Public Elementary Schools in America",Sachem Central School District,NY,K-5,nan,nan,B+,516,16:1,2019-03-19 01:01:35.272948
Gates-Chili High School,"#3,870 Best Public High Schools in America",Gates-Chili Central School District,NY,9-12,3.5,198,B+,"1,346",11:1,2019-03-19 01:01:35.272955
Tamarac Elementary School,"#12,608 Best Public Elementary Schools in America",Sachem Central School District,NY,K-5,5.0,1,B+,505,17:1,2019-03-19 01:01:35.272962
East Middle School,"#4,540 Best Public Middle Schools in America",West Seneca Central School District,NY,5-8,nan,nan,B+,799,14:1,2019-03-19 01:01:35.272969
Myles Elementary School,"#12,621 Best Public Elementary Schools in America",New Hartford Central School District,NY,K-6,nan,nan,B+,374,12:1,2019-03-19 01:01:35.272982
Newcomers High School,"#3,900 Best Public High Schools in America",New York City Geographic District No. 30,NY,9-12,4.0,63,B+,870,17:1,2019-03-19 01:01:35.272988
Oak Grove Elementary School,"#12,709 Best Public Elementary Schools in America",Wappingers Central School District,NY,K-6,nan,nan,B+,431,16:1,2019-03-19 01:01:35.272995
Chestnut Ridge Elementary School,"#12,711 Best Public Elementary Schools in America",Churchville-Chili Central School District,NY,K-4,nan,nan,B+,529,13:1,2019-03-19 01:01:35.273002
Cuba-Rushford Elementary School,"#12,718 Best Public Elementary Schools in America",Cuba-Rushford Central School District,NY,"PK, K-8",nan,nan,B+,368,14:1,2019-03-19 01:01:35.273009
PS 4 - Maurice Wollin,"#12,720 Best Public Elementary Schools in America",New York City Geographic District No. 31,NY,"PK, K-5",nan,nan,B+,771,9:1,2019-03-19 01:01:35.273016
PS 50 - Talfourd Lawn Elementary School,"#12,735 Best Public Elementary Schools in America",New York City Geographic District No. 28,NY,"PK, K-5",nan,nan,B+,802,16:1,2019-03-19 01:01:35.273023
Windom Elementary School,"#12,750 Best Public Elementary Schools in America",Orchard Park Central School District,NY,K-5,nan,nan,B+,556,13:1,2019-03-19 01:01:35.273030
Clayton Avenue Elementary School,"#12,775 Best Public Elementary Schools in America",Vestal Central School District,NY,K-5,nan,nan,B+,279,15:1,2019-03-19 01:01:35.273037
Livonia Elementary School,"#12,785 Best Public Elementary Schools in America",Livonia Central School District,NY,"PK, K-5",nan,nan,B+,709,11:1,2019-03-19 01:01:35.273044
Cherry Road Elementary School,"#12,790 Best Public Elementary Schools in America",Westhill Central School District,NY,2-4,nan,nan,B+,376,15:1,2019-03-19 01:01:35.273050
Poestenkill Elementary School,"#12,839 Best Public Elementary Schools in America",Averill Park Central School District,NY,K-5,nan,nan,B+,377,15:1,2019-03-19 01:01:35.273057
High School for Health Professions & Human Services,"#3,947 Best Public High Schools in America",New York City Geographic District No. 2,NY,8-12,4.0,470,B+,"1,699",21:1,2019-03-19 01:01:35.273064
PS 146 - The Brooklyn New School,"#12,852 Best Public Elementary Schools in America",New York City Geographic District No. 15,NY,"PK, K-5",nan,nan,B+,654,12:1,2019-03-19 01:01:35.273071
PS 55 - Henry M Boehm,"#12,857 Best Public Elementary Schools in America",New York City Geographic District No. 31,NY,"PK, K-5",nan,nan,B+,635,14:1,2019-03-19 01:01:35.273078
Akron Elementary School,"#12,871 Best Public Elementary Schools in America",Akron Central School District,NY,K-5,nan,nan,B+,587,14:1,2019-03-19 01:01:35.273086
Charles O Dickerson High School,"#3,962 Best Public High Schools in America",Trumansburg Central School District,NY,9-12,4.0,44,B+,309,12:1,2019-03-19 01:01:35.273092
PS 121 - Queens,"#12,892 Best Public Elementary Schools in America",New York City Geographic District No. 28,NY,"PK, K-5",nan,nan,B+,954,17:1,2019-03-19 01:01:35.273100
Cloverbank Elementary School,"#12,931 Best Public Elementary Schools in America",Frontier Central School District,NY,"PK, K-5",nan,nan,B+,582,14:1,2019-03-19 01:01:35.273107
PS 153 - Maspeth,"#12,957 Best Public Elementary Schools in America",New York City Geographic District No. 24,NY,"PK, K-6",3.5,3,B+,"1,333",17:1,2019-03-19 01:01:35.273114
Goshen Central High School,"#3,990 Best Public High Schools in America",Goshen Central School District,NY,9-12,3.5,141,B+,954,14:1,2019-03-19 01:01:35.273121
Lisha Kill Middle School,"#4,687 Best Public Middle Schools in America",South Colonie Central School District,NY,5-8,4.0,1,B+,603,13:1,2019-03-19 01:01:35.273129
Shoreham-Wading River High School,"#3,997 Best Public High Schools in America",Shoreham-Wading River Central School District,NY,9-12,3.5,97,B+,824,16:1,2019-03-19 01:01:35.273135
Harry E Elden Elementary School,"#13,008 Best Public Elementary Schools in America",Baldwinsville Central School District,NY,K-5,nan,nan,B+,462,15:1,2019-03-19 01:01:35.273142
Horseheads Senior High School,"#3,998 Best Public High Schools in America",Horseheads Central School District,NY,9-12,3.5,128,B+,"1,316",16:1,2019-03-19 01:01:35.273148
Pine Brook Elementary School,"#13,030 Best Public Elementary Schools in America",Greece Central School District,NY,K-5,nan,nan,B+,554,14:1,2019-03-19 01:01:35.273155
Plaza Elementary School,"#13,040 Best Public Elementary Schools in America",Baldwin Union Free School District,NY,K-5,nan,nan,B+,419,13:1,2019-03-19 01:01:35.273161
Calvin U Smith Elementary School,"#13,050 Best Public Elementary Schools in America",Corning City School District,NY,K-5,nan,nan,B+,304,14:1,2019-03-19 01:01:35.273168
Henry H Wells Middle School,"#4,710 Best Public Middle Schools in America",Brewster Central School District,NY,6-8,nan,nan,B+,740,14:1,2019-03-19 01:01:35.273174
William Street School,"#13,083 Best Public Elementary Schools in America",Lancaster Central School District,NY,4-6,4.0,7,B+,"1,248",15:1,2019-03-19 01:01:35.273180
Riverview Elementary School,"#13,092 Best Public Elementary Schools in America",Tonawanda City School District,NY,K-3,nan,nan,B+,250,15:1,2019-03-19 01:01:35.273186
Caledonia-Mumford Elementary School,"#13,114 Best Public Elementary Schools in America",Caledonia-Mumford Central School District,NY,"PK, K-5",5.0,1,B+,372,11:1,2019-03-19 01:01:35.273192
Maple Hill Middle School,"#4,735 Best Public Middle Schools in America",Schodack Central School District,NY,6-8,5.0,3,B+,208,15:1,2019-03-19 01:01:35.273199
West Elementary School,"#13,141 Best Public Elementary Schools in America",West Seneca Central School District,NY,K-5,nan,nan,B+,625,17:1,2019-03-19 01:01:35.273205
PS 97 - The Highlawn,"#13,146 Best Public Elementary Schools in America",New York City Geographic District No. 21,NY,"PK, K-5",nan,nan,B+,830,14:1,2019-03-19 01:01:35.273212
North Main Street School,"#13,171 Best Public Elementary Schools in America",Monroe-Woodbury Central School District,NY,2-5,5.0,1,B+,553,14:1,2019-03-19 01:01:35.273218
Milton Terrace Elementary School,"#13,177 Best Public Elementary Schools in America",Ballston Spa Central School District,NY,K-5,5.0,1,B+,450,15:1,2019-03-19 01:01:35.273225
PS 102 - Bayview,"#13,226 Best Public Elementary Schools in America",New York City Geographic District No. 24,NY,"PK, K-8",nan,nan,B+,"1,322",16:1,2019-03-19 01:01:35.273232
High School for Dual Language & Asian Studies,"#4,046 Best Public High Schools in America",New York City Geographic District No. 2,NY,9-12,3.5,122,B+,420,18:1,2019-03-19 01:01:35.273239
Cornwell Avenue School,"#13,252 Best Public Elementary Schools in America",West Hempstead Union Free School District,NY,1-5,nan,nan,B+,310,16:1,2019-03-19 01:01:35.273247
East Islip High School,"#4,053 Best Public High Schools in America",East Islip Union Free School District,NY,9-12,3.5,209,B+,"1,220",13:1,2019-03-19 01:01:35.273254
George Grant Mason Elementary School,"#13,268 Best Public Elementary Schools in America",Tuxedo Union Free School District,NY,K-6,5.0,1,B+,131,11:1,2019-03-19 01:01:35.273261
Jackson Avenue School,"#13,276 Best Public Elementary Schools in America",Mineola Union Free School District,NY,3-4,5.0,1,B+,459,12:1,2019-03-19 01:01:35.273282
Elmont Memorial High School,"#4,061 Best Public High Schools in America",Sewanhaka Central High School District,NY,7-12,4.0,390,B+,"1,702",16:1,2019-03-19 01:01:35.273289
Cape Vincent Elementary School,"#13,301 Best Public Elementary Schools in America",Thousand Islands Central School District,NY,K-5,nan,nan,B+,108,9:1,2019-03-19 01:01:35.273297
Charles A Lindbergh Elementary School,"#13,309 Best Public Elementary Schools in America",Kenmore-Tonawanda Union Free School District,NY,K-5,nan,nan,B+,480,14:1,2019-03-19 01:01:35.273304
Millbrook High School,"#4,080 Best Public High Schools in America",Millbrook Central School District,NY,9-12,3.5,26,B+,342,14:1,2019-03-19 01:01:35.273312
Institute for Collaborative Education,"#4,089 Best Public High Schools in America",New York City Geographic District No. 2,NY,6-12,4.0,71,B+,486,19:1,2019-03-19 01:01:35.273319
Bemus Point Elementary School,"#13,398 Best Public Elementary Schools in America",Bemus Point Central School District,NY,"PK, K-5",nan,nan,B+,320,12:1,2019-03-19 01:01:35.273327
Oneonta Senior High School,"#4,102 Best Public High Schools in America",Oneonta City School District,NY,9-12,3.5,97,B+,494,10:1,2019-03-19 01:01:35.273336
Merrimac School,"#13,416 Best Public Elementary Schools in America",Sachem Central School District,NY,K-5,nan,nan,B+,414,18:1,2019-03-19 01:01:35.273343
Harbor Science & Arts Charter School,"#13,425 Best Public Elementary Schools in America",New York,NY,K-8,5.0,1,B+,253,18:1,2019-03-19 01:01:35.273350
PS 34 - Oliver H Perry,"#13,459 Best Public Elementary Schools in America",New York City Geographic District No. 14,NY,"PK, K-5",nan,nan,B+,479,17:1,2019-03-19 01:01:35.273357
Bedford Academy High School,"#4,113 Best Public High Schools in America",New York City Geographic District No. 13,NY,9-12,4.0,203,B+,363,19:1,2019-03-19 01:01:35.273364
Geneva High School,"#4,116 Best Public High Schools in America",Geneva City School District,NY,9-12,3.5,114,B+,699,12:1,2019-03-19 01:01:35.273373
PS 38 - The Pacific School,"#13,516 Best Public Elementary Schools in America",New York City Geographic District No. 15,NY,"PK, K-5",nan,nan,B+,553,13:1,2019-03-19 01:01:35.273379
Gotham Avenue School,"#13,540 Best Public Elementary Schools in America",Elmont Union Free School District,NY,"PK, K-6",nan,nan,B+,583,13:1,2019-03-19 01:01:35.273386
KIPP STAR College Prep Charter School,"#4,131 Best Public High Schools in America",New York,NY,K-12,4.5,4,B+,722,18:1,2019-03-19 01:01:35.273393
Marilla Primary School,"#13,578 Best Public Elementary Schools in America",Iroquois Central School District,NY,K-4,nan,nan,B+,206,12:1,2019-03-19 01:01:35.273400
PS 160 - William T Sampson,"#13,581 Best Public Elementary Schools in America",New York City Geographic District No. 20,NY,K-5,nan,nan,B+,"1,386",14:1,2019-03-19 01:01:35.273406
Fort Hamilton High School,"#4,144 Best Public High Schools in America",New York City Geographic District No. 20,NY,9-12,4.0,575,B+,"4,384",21:1,2019-03-19 01:01:35.273414
Bayview Elementary School,"#13,599 Best Public Elementary Schools in America",West Islip Union Free School District,NY,K-5,nan,nan,B+,444,14:1,2019-03-19 01:01:35.273421
PS 7 - Kingsbridge,"#13,607 Best Public Elementary Schools in America",New York City Geographic District No. 10,NY,K-5,nan,nan,B+,731,15:1,2019-03-19 01:01:35.273428
PS 52 - Sheepshead Bay,"#13,612 Best Public Elementary Schools in America",New York City Geographic District No. 22,NY,"PK, K-5",nan,nan,B+,862,16:1,2019-03-19 01:01:35.273435
PS 197 Kings Highway Academy,"#13,626 Best Public Elementary Schools in America",New York City Geographic District No. 22,NY,"PK, K-5",nan,nan,B+,617,13:1,2019-03-19 01:01:35.273442
West Gates Avenue School,"#13,632 Best Public Elementary Schools in America",Lindenhurst Union Free School District,NY,K-5,nan,nan,B+,362,13:1,2019-03-19 01:01:35.273466
Urban Assembly Maker Academy,"#4,158 Best Public High Schools in America",New York City Geographic District No. 2,NY,9-10,4.5,6,B+,199,13:1,2019-03-19 01:01:35.273478
Dryden High School,"#4,160 Best Public High Schools in America",Dryden Central School District,NY,9-12,3.5,96,B+,477,12:1,2019-03-19 01:01:35.273487
East Rochester Elementary School,"#13,698 Best Public Elementary Schools in America",East Rochester Union Free School District,NY,"PK, K-5",nan,nan,B+,482,11:1,2019-03-19 01:01:35.273494
Chatham High School,"#4,179 Best Public High Schools in America",Chatham Central School District,NY,9-12,3.5,42,B+,354,11:1,2019-03-19 01:01:35.273502
Nyack Middle School,"#4,953 Best Public Middle Schools in America",Nyack Union Free School District,NY,6-8,nan,nan,B+,654,10:1,2019-03-19 01:01:35.273509
Post Road School,"#13,753 Best Public Elementary Schools in America",White Plains City School District,NY,K-5,nan,nan,B+,625,13:1,2019-03-19 01:01:35.273516
PS 41 - New Dorp,"#13,769 Best Public Elementary Schools in America",New York City Geographic District No. 31,NY,"PK, K-5",nan,nan,B+,696,15:1,2019-03-19 01:01:35.273523
Beacon High School,"#4,199 Best Public High Schools in America",Beacon City School District,NY,9-12,3.5,212,B+,882,13:1,2019-03-19 01:01:35.273530
George Fischer Middle School,"#4,973 Best Public Middle Schools in America",Carmel Central School District,NY,5-8,3.0,1,B+,"1,331",13:1,2019-03-19 01:01:35.273536
William Rall School,"#13,833 Best Public Elementary Schools in America",Lindenhurst Union Free School District,NY,K-5,nan,nan,B+,574,14:1,2019-03-19 01:01:35.273543
Glendale Elementary School,"#13,853 Best Public Elementary Schools in America",Sweet Home Central School District,NY,K-5,nan,nan,B+,377,13:1,2019-03-19 01:01:35.273550
Chancellor Livingston Elementary School,"#13,856 Best Public Elementary Schools in America",Rhinebeck Central School District,NY,K-5,nan,nan,B+,444,12:1,2019-03-19 01:01:35.273556
PS 63 - The STAR Academy,"#13,868 Best Public Elementary Schools in America",New York City Geographic District No. 1,NY,"PK, K-5",nan,nan,B+,201,10:1,2019-03-19 01:01:35.273563
Brookside Elementary School,"#13,876 Best Public Elementary Schools in America",Greece Central School District,NY,K-5,nan,nan,B+,359,12:1,2019-03-19 01:01:35.273570
Glenham School,"#13,905 Best Public Elementary Schools in America",Beacon City School District,NY,"PK, K-5",nan,nan,B+,413,14:1,2019-03-19 01:01:35.273577
PS 163 - Bath Beach,"#13,946 Best Public Elementary Schools in America",New York City Geographic District No. 20,NY,K-8,nan,nan,B+,627,14:1,2019-03-19 01:01:35.273584
Byron-Bergen Elementary School,"#13,948 Best Public Elementary Schools in America",Byron-Bergen Central School District,NY,"PK, K-6",nan,nan,B+,498,12:1,2019-03-19 01:01:35.273590
Austin Road Elementary School,"#13,965 Best Public Elementary Schools in America",Mahopac Central School District,NY,K-5,nan,nan,B+,617,13:1,2019-03-19 01:01:35.273597
PS 200 - Benson School,"#13,978 Best Public Elementary Schools in America",New York City Geographic District No. 20,NY,"PK, K-5",3.5,2,B+,"1,298",17:1,2019-03-19 01:01:35.273604
Linden Avenue Middle School,"#5,063 Best Public Middle Schools in America",Red Hook Central School District,NY,6-8,nan,nan,B+,470,13:1,2019-03-19 01:01:35.273610
PS 152 - Gwendoline N Alleyne School,"#14,030 Best Public Elementary Schools in America",New York City Geographic District No. 30,NY,"PK, K-5",nan,nan,B+,"1,260",16:1,2019-03-19 01:01:35.273617
Cuba-Rushford High School,"#4,288 Best Public High Schools in America",Cuba-Rushford Central School District,NY,9-12,3.5,54,B+,261,14:1,2019-03-19 01:01:35.273624
IS 30 - Mary White Ovington,"#14,054 Best Public Elementary Schools in America",New York City Geographic District No. 20,NY,K-8,4.0,5,B+,715,14:1,2019-03-19 01:01:35.273630
Chazy Central Rural Elementary School,"#14,066 Best Public Elementary Schools in America",Chazy Union Free School District,NY,K-8,4.0,1,B+,243,15:1,2019-03-19 01:01:35.273638
JHS 278 - Marine Park,"#14,068 Best Public Elementary Schools in America",New York City Geographic District No. 22,NY,K-8,5.0,3,B+,921,13:1,2019-03-19 01:01:35.273647
Como Park Elementary School,"#14,081 Best Public Elementary Schools in America",Lancaster Central School District,NY,K-3,nan,nan,B+,355,14:1,2019-03-19 01:01:35.273669
PS 175 - The Lynn Gross Discovery School,"#14,121 Best Public Elementary Schools in America",New York City Geographic District No. 28,NY,"PK, K-5",nan,nan,B+,762,18:1,2019-03-19 01:01:35.273677
Seneca Street School,"#14,134 Best Public Elementary Schools in America",Oneida City School District,NY,K-5,nan,nan,B+,225,16:1,2019-03-19 01:01:35.273685
Ridge Road School,"#14,143 Best Public Elementary Schools in America",Horseheads Central School District,NY,"PK, K-4",nan,nan,B+,380,16:1,2019-03-19 01:01:35.273692
PS 261 - Philip Livingston,"#14,199 Best Public Elementary Schools in America",New York City Geographic District No. 15,NY,"PK, K-7",5.0,2,B+,795,15:1,2019-03-19 01:01:35.273698
Collegiate Institute for Math & Science,"#4,335 Best Public High Schools in America",New York City Geographic District No. 11,NY,9-12,4.0,165,B+,694,19:1,2019-03-19 01:01:35.273705
