School Name,Rank in America,District,State,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
Oak Park High School,#649 Best Public High Schools in America,Oak Park Unified School District,CA,9-12,4.0,292,A+,"1,542",24:1,2019-03-19 00:43:04.495917
Paradise Canyon Elementary School,#431 Best Public Elementary Schools in America,La Canada Unified School District,CA,K-6,nan,nan,A+,717,24:1,2019-03-19 00:43:04.495924
Yorba Linda High School,#667 Best Public High Schools in America,Placentia-Yorba Linda Unified School District,CA,9-12,4.0,326,A+,"1,791",27:1,2019-03-19 00:43:04.495930
Aliso Niguel High School,#669 Best Public High Schools in America,Capistrano Unified School District,CA,9-12,4.0,657,A+,"3,068",29:1,2019-03-19 00:43:04.495938
Dos Pueblos Senior High School,#674 Best Public High Schools in America,Santa Barbara Unified School District,CA,9-12,4.0,409,A+,"2,130",24:1,2019-03-19 00:43:04.495945
Monterey Ridge Elementary School,#452 Best Public Elementary Schools in America,Poway Unified School District,CA,K-5,nan,nan,A+,"1,038",26:1,2019-03-19 00:43:04.495952
Highland Oaks Elementary School,#460 Best Public Elementary Schools in America,Arcadia Unified School District,CA,K-5,nan,nan,A+,680,25:1,2019-03-19 00:43:04.495959
Stone Ranch Elementary School,#477 Best Public Elementary Schools in America,Poway Unified School District,CA,K-5,5.0,1,A+,956,26:1,2019-03-19 00:43:04.495967
Western Sierra Collegiate Academy,#692 Best Public High Schools in America,Rocklin Academy Family of Schools,CA,6-12,3.5,102,A+,728,23:1,2019-03-19 00:43:04.495974
Turtle Rock Elementary School,#487 Best Public Elementary Schools in America,Irvine Unified School District,CA,K-6,4.0,1,A+,883,29:1,2019-03-19 00:43:04.495981
Foothill Technology High School,#693 Best Public High Schools in America,Ventura Unified School District,CA,9-12,4.0,252,A+,"1,023",28:1,2019-03-19 00:43:04.495988
Great Oak High School,#695 Best Public High Schools in America,Temecula Valley Unified School District,CA,9-12,4.0,718,A+,"3,473",27:1,2019-03-19 00:43:04.495995
Rancho San Joaquin Middle School,#193 Best Public Middle Schools in America,Irvine Unified School District,CA,7-8,4.5,3,A+,863,28:1,2019-03-19 00:43:04.496002
Vista Verde,#499 Best Public Elementary Schools in America,Irvine Unified School District,CA,K-8,4.5,2,A+,947,28:1,2019-03-19 00:43:04.496009
Bonita Canyon Elementary School,#500 Best Public Elementary Schools in America,Irvine Unified School District,CA,K-6,4.0,1,A+,488,28:1,2019-03-19 00:43:04.496016
Temple City High School,#699 Best Public High Schools in America,Temple City Unified School District,CA,9-12,3.5,392,A+,"2,076",25:1,2019-03-19 00:43:04.496023
Oak Valley Middle School,#197 Best Public Middle Schools in America,Poway Unified School District,CA,6-8,3.0,14,A+,"1,388",27:1,2019-03-19 00:43:04.496030
Solana Highlands Elementary School,#518 Best Public Elementary Schools in America,Solana Beach Elementary School District,CA,K-3,5.0,1,A+,353,20:1,2019-03-19 00:43:04.496036
West Ranch High School,#710 Best Public High Schools in America,William S. Hart Union High School District,CA,9-12,4.0,582,A+,"2,455",27:1,2019-03-19 00:43:04.496044
Opal Robinson Elementary School,#532 Best Public Elementary Schools in America,Manhattan Beach Unified School District,CA,K-5,nan,nan,A+,408,24:1,2019-03-19 00:43:04.496050
Point Vicente Elementary School,#540 Best Public Elementary Schools in America,Palos Verdes Peninsula Unified School District,CA,K-5,5.0,7,A+,374,23:1,2019-03-19 00:43:04.496057
Pleasanton Middle School,#212 Best Public Middle Schools in America,Pleasanton Unified School District,CA,6-8,2.0,3,A+,"1,272",23:1,2019-03-19 00:43:04.496064
Del Sur Elementary School,#543 Best Public Elementary Schools in America,Poway Unified School District,CA,K-5,5.0,2,A+,705,27:1,2019-03-19 00:43:04.496071
Mission Vista High School,#716 Best Public High Schools in America,Vista Unified School District,CA,9-12,4.0,460,A+,"1,566",21:1,2019-03-19 00:43:04.496078
Park Village Elementary School,#551 Best Public Elementary Schools in America,Poway Unified School District,CA,K-5,5.0,1,A+,635,25:1,2019-03-19 00:43:04.496085
Sir Francis Drake High School,#719 Best Public High Schools in America,Tamalpais Union High School District,CA,9-12,4.0,226,A+,"1,077",19:1,2019-03-19 00:43:04.496092
Los Angeles Center for Enriched Studies,#720 Best Public High Schools in America,Los Angeles Unified School District,CA,6-12,3.5,374,A+,"1,648",25:1,2019-03-19 00:43:04.496099
Valentine Elementary School,#555 Best Public Elementary Schools in America,San Marino Unified School District,CA,K-5,4.0,6,A+,561,22:1,2019-03-19 00:43:04.496107
Lakeside Middle School,#218 Best Public Middle Schools in America,Irvine Unified School District,CA,7-8,3.0,1,A+,656,25:1,2019-03-19 00:43:04.496114
Sunny Hills High School,#724 Best Public High Schools in America,Fullerton Joint Union High School District,CA,9-12,4.0,464,A+,"2,307",30:1,2019-03-19 00:43:04.496121
Cornerstone at Pedregal Elementary School,#581 Best Public Elementary Schools in America,Palos Verdes Peninsula Unified School District,CA,K-5,5.0,1,A+,403,26:1,2019-03-19 00:43:04.496128
Cold Spring Elementary School,#588 Best Public Elementary Schools in America,Santa Barbara,CA,K-6,nan,nan,A+,151,16:1,2019-03-19 00:43:04.496431
Palisades Charter High School,#736 Best Public High Schools in America,Los Angeles Unified School District,CA,9-12,4.0,561,A+,"2,970",24:1,2019-03-19 00:43:04.496445
La Costa Canyon High School,#744 Best Public High Schools in America,San Dieguito Union High School District,CA,9-12,4.0,429,A+,"1,863",25:1,2019-03-19 00:43:04.496453
Canyon View Elementary School,#613 Best Public Elementary Schools in America,Poway Unified School District,CA,K-5,nan,nan,A+,540,25:1,2019-03-19 00:43:04.496468
Earl Warren Middle School,#247 Best Public Middle Schools in America,San Dieguito Union High School District,CA,7-8,5.0,2,A+,595,23:1,2019-03-19 00:43:04.496475
Ballard Elementary School,#626 Best Public Elementary Schools in America,Solvang,CA,K-6,nan,nan,A+,124,18:1,2019-03-19 00:43:04.496483
Ross Elementary School,#636 Best Public Elementary Schools in America,Ross,CA,K-8,nan,nan,A+,384,15:1,2019-03-19 00:43:04.496490
Adobe Bluffs Elementary School,#638 Best Public Elementary Schools in America,Poway Unified School District,CA,K-5,5.0,1,A+,352,23:1,2019-03-19 00:43:04.496496
Hugo Reid Elementary School,#647 Best Public Elementary Schools in America,Arcadia Unified School District,CA,K-5,nan,nan,A+,562,28:1,2019-03-19 00:43:04.496504
Diegueno Middle School,#257 Best Public Middle Schools in America,San Dieguito Union High School District,CA,7-8,4.0,1,A+,993,24:1,2019-03-19 00:43:04.496511
Piedmont Hills High School,#758 Best Public High Schools in America,East Side Union High School District,CA,9-12,3.5,575,A+,"2,178",25:1,2019-03-19 00:43:04.496518
Montemalaga Elementary School,#651 Best Public Elementary Schools in America,Palos Verdes Peninsula Unified School District,CA,K-5,4.0,6,A+,494,26:1,2019-03-19 00:43:04.496526
Oak Ridge High School,#761 Best Public High Schools in America,El Dorado Union High School District,CA,9-12,4.0,362,A+,"2,400",25:1,2019-03-19 00:43:04.496534
