School Name,Rank in America,District,State,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
Beneke Elementary School,nan,Spring Ind School District,TX,"PK, K-5",nan,nan,C+,721,15:1,2019-03-18 22:11:28.936375
Thornton Elementary School,nan,Temple Ind School District,TX,"PK, K-5",nan,nan,C+,545,17:1,2019-03-18 22:11:28.936382
Evadale Elementary School,nan,Evadale Ind School District,TX,"PK, K-5",nan,nan,C+,240,13:1,2019-03-18 22:11:28.936388
Teague Elementary School,nan,Teague Ind School District,TX,"PK, K-3",nan,nan,C+,386,13:1,2019-03-18 22:11:28.936395
Black Elementary School,nan,Mesquite Ind School District,TX,"PK, K-6",nan,nan,C+,635,16:1,2019-03-18 22:11:28.936401
Rockdale Junior High School,nan,Rockdale Ind School District,TX,6-8,nan,nan,C+,355,14:1,2019-03-18 22:11:28.936407
Goliad Elementary School,nan,San Angelo Ind School District,TX,K-5,nan,nan,C+,639,18:1,2019-03-18 22:11:28.936414
Leakey School,nan,Leakey Ind School District,TX,"PK, K-12",3.5,12,C+,269,13:1,2019-03-18 22:11:28.936420
J Kawas Elementary School,nan,Laredo Ind School District,TX,"PK, K-5",nan,nan,C+,564,17:1,2019-03-18 22:11:28.936445
Tulia Junior High School,nan,Tulia Ind School District,TX,6-8,nan,nan,C+,242,11:1,2019-03-18 22:11:28.936453
Pecan Springs Elementary School,nan,Austin Ind School District,TX,"PK, K-5",nan,nan,C+,464,15:1,2019-03-18 22:11:28.936459
PSJA Southwest Early College High School,nan,Pharr-San Juan-Alamo Ind School District,TX,9-12,4.0,179,C+,"1,774",14:1,2019-03-18 22:11:28.936466
Felix G Botello Elementary School,nan,Dallas Ind School District,TX,"PK, K-5",nan,nan,C+,555,15:1,2019-03-18 22:11:28.936473
James Deanda Elementary School,nan,Houston Ind School District,TX,"PK, K-5",nan,nan,C+,731,18:1,2019-03-18 22:11:28.936480
Shaw Elementary School,nan,Mesquite Ind School District,TX,"PK, K-6",nan,nan,C+,876,17:1,2019-03-18 22:11:28.936487
Guillermo Flores Elementary School,nan,La Joya Ind School District,TX,"PK, K-5",4.0,1,C+,555,15:1,2019-03-18 22:11:28.936493
Crockett Elementary School,nan,Wichita Falls Ind School District,TX,"PK, K-6",nan,nan,C+,569,15:1,2019-03-18 22:11:28.936500
Love Elementary School,nan,Houston Ind School District,TX,"PK, K-5",nan,nan,C+,461,17:1,2019-03-18 22:11:28.936507
Miller Middle School,nan,San Marcos Consolidated Ind School District,TX,6-8,nan,nan,C+,683,13:1,2019-03-18 22:11:28.936514
Travis Middle School,nan,McAllen Ind School District,TX,6-8,nan,nan,C+,582,12:1,2019-03-18 22:11:28.936521
Wills Point Junior High School,nan,Wills Point Ind School District,TX,7-8,nan,nan,C+,357,13:1,2019-03-18 22:11:28.936528
South Ward Elementary School,nan,Longview Ind School District,TX,"PK, K-5",nan,nan,C+,661,16:1,2019-03-18 22:11:28.936534
Rosemont Middle School,nan,Fort Worth Ind School District,TX,7-8,4.5,5,C+,914,17:1,2019-03-18 22:11:28.936541
Center Elementary School,nan,Center Ind School District,TX,1-3,nan,nan,C+,644,14:1,2019-03-18 22:11:28.936548
College Hill Elementary School,nan,Plainview Ind School District,TX,"PK, K-5",nan,nan,C+,452,17:1,2019-03-18 22:11:28.936555
Southside Elementary School,nan,Palestine Ind School District,TX,2-3,nan,nan,C+,545,15:1,2019-03-18 22:11:28.936562
Ozona High School,nan,Crockett County Consolidated Central School District,TX,9-12,3.0,13,C+,205,8:1,2019-03-18 22:11:28.936569
Blanton Elementary School,nan,Arlington Ind School District,TX,"PK, K-6",nan,nan,C+,726,16:1,2019-03-18 22:11:28.936576
Anson Jones Elementary School,nan,Bryan Ind School District,TX,"PK, K-5",nan,nan,C+,702,16:1,2019-03-18 22:11:28.936582
Lady Bird Johnson Middle School,nan,Irving Ind School District,TX,6-8,nan,nan,C+,"1,014",15:1,2019-03-18 22:11:28.936589
Rio Grande City CISD Grulla High School,nan,Rio Grande City Consolidated Ind School District,TX,9-12,4.0,48,C+,"1,056",11:1,2019-03-18 22:11:28.936596
Raul A Gonzalez Jr Elementary School,nan,Weslaco Ind School District,TX,"PK, K-5",nan,nan,C+,820,18:1,2019-03-18 22:11:28.936603
Ysleta Middle School,nan,Ysleta Ind School District,TX,6-8,4.5,4,C+,606,17:1,2019-03-18 22:11:28.936609
Robert H Goddard Junior High School,nan,Midland Ind School District,TX,7-8,3.0,2,C+,"1,047",16:1,2019-03-18 22:11:28.936616
Hillcrest Elementary School,nan,Del Valle Ind School District,TX,"PK, K-5",nan,nan,C+,599,13:1,2019-03-18 22:11:28.936623
Guess Elementary School,nan,Beaumont Ind School District,TX,"PK, K-5",nan,nan,C+,647,17:1,2019-03-18 22:11:28.936629
Winona Intermediate School,nan,Winona Ind School District,TX,4-5,nan,nan,C+,163,16:1,2019-03-18 22:11:28.936636
Gates Elementary School,nan,San Antonio Ind School District,TX,"PK, K-5",nan,nan,C+,256,13:1,2019-03-18 22:11:28.936642
Wright Elementary School,nan,Lubbock Ind School District,TX,"PK, K-5",4.0,1,C+,238,13:1,2019-03-18 22:11:28.936649
Amherst School,nan,Amherst Ind School District,TX,"PK, K-12",3.5,8,C+,152,8:1,2019-03-18 22:11:28.936655
Big Bend High School,nan,Terlingua Central School District,TX,K-12,3.5,10,C+,86,8:1,2019-03-18 22:11:28.936661
Adrian School,nan,Adrian Ind School District,TX,"PK, K-12",nan,nan,C+,129,7:1,2019-03-18 22:11:28.936668
Menard Junior High School,nan,Menard Ind School District,TX,6-8,nan,nan,C+,62,13:1,2019-03-18 22:11:28.936675
Waterford Oaks Elementary School,nan,Cedar Hill Ind School District,TX,"PK, K-5",nan,nan,C+,573,17:1,2019-03-18 22:11:28.936682
Wharton High School,nan,Wharton Ind School District,TX,9-12,3.5,66,C+,587,11:1,2019-03-18 22:11:28.936689
Lincoln Middle School,nan,McAllen Ind School District,TX,6-9,nan,nan,C+,558,11:1,2019-03-18 22:11:28.936696
Harmony Science Academy Elementary School - Houston,nan,Houston,TX,K-8,4.0,5,C+,367,13:1,2019-03-18 22:11:28.936703
Trinidad School,nan,Trinidad Ind School District,TX,"PK, K-12",4.5,11,C+,171,9:1,2019-03-18 22:11:28.936709
Glenn C Jones Middle School,nan,Northside Ind School District (San Antonio),TX,6-8,nan,nan,C+,"1,195",14:1,2019-03-18 22:11:28.936717
Kilgore High School,nan,Kilgore Ind School District,TX,9-12,3.5,107,C+,"1,066",13:1,2019-03-18 22:11:28.936724
Dimmitt High School,nan,Dimmitt Ind School District,TX,9-12,3.5,34,C+,308,8:1,2019-03-18 22:11:28.936730
Bradford Elementary School,nan,San Angelo Ind School District,TX,"PK, K-5",nan,nan,C+,434,14:1,2019-03-18 22:11:28.936737
Rockdale High School,nan,Rockdale Ind School District,TX,9-12,2.5,38,C+,427,12:1,2019-03-18 22:11:28.936744
